above	above	p-acp	above	above	0
humane	humane	j	humane	humane	0
flight	flight	n1	flight	flight	0
dost	dost	vd2	dost	do	0
soar	soar	vvi	soar	soar	0
aloft	aloft	av	aloft	aloft	0
With	With	p-acp	With	with	0
Plume	Plume	n1	Plume	plume	0
so	so	av	so	so	0
strong	strong	j	strong	strong	0
,	,	,	,	,	0
so	so	av	so	so	0
equal	equal	j-jn	equal	equal	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
soft	soft	j	soft	soft	0
,	,	,	,	,	0
The	The	dt	The	the	0
Bird	Bird	n1	Bird	bird	0
nam'd	nam'd	vvd	named	name	0
from	from	p-acp	from	from	0
that	that	d	that	that	0
Paradise	Paradise	n1	Paradise	paradise	0
you	you	pn22	you	you	0
sing	sing	vvb	sing	sing	0
So	So	av	So	so	0
never	never	av	never	never	0
flaggs	flaggs	n2	flags	flag	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
always	always	av	always	always	0
keeps	keeps	vvz	keeps	keep	0
on	on	p-acp	on	on	0
Wing	Wing	n1	Wing	wing	0
.	.	.	.	.	1
Where	Where	q-crq	Where	where	0
couldst	couldst	vmd2	couldst	can	0
thou	thou	pns21	thou	thou	0
words	words	n1	words	word	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
a	a	dt	a	a	0
compass	compass	n1	compass	compass	0
,	,	,	,	,	0
find	find	vvb	find	find	0
?	?	?	?	?	1
Whence	Whence	q-crq	Whence	whence	0
furnish	furnish	vvb	furnish	furnish	0
such	such	d	such	such	0
a	a	dt	a	a	0
vast	vast	j	vast	vast	0
expence	expence	n1	expense	expense	0
of	of	pp-f	of	of	0
mind	mind	n1	mind	mind	0
?	?	?	?	?	1
Just	Just	j	Just	just	0
Heav'n	Heav'n	n1	Heaven	heaven	0
thee	thee	pno21	thee	thou	0
like	like	av-j	like	like	0
Tiresias	Tiresias	np1	Tiresias	Tiresias	0
to	to	pc-acp	to	to	0
requite	requite	vvi	requite	requite	0
Rewards	Rewards	n2	Rewards	reward	0
with	with	p-acp	with	with	0
Prophesie	Prophesie	vvi	Prophesy	prophesy	0
thy	thy	po21	thy	thy	0
loss	loss	n1	loss	loss	0
of	of	pp-f	of	of	0
sight	sight	n1	sighed	sight	0
.	.	.	.	.	1
Well	Well	n1	Well	well	0
mightst	mightst	vmd2	mightest	may	0
thou	thou	pns21	thou	thou	0
scorn	scorn	vvi	scorn	scorn	0
thy	thy	po21	thy	thy	0
Readers	Readers	n2	Readers	reader	0
to	to	pc-acp	to	to	0
allure	allure	vvi	allure	allure	0
With	With	p-acp	With	with	0
tinkling	tinkling	j-vvg	tinkling	tinkle	0
Rhime	Rhime	n1	Rhime	rhime	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
own	own	d	own	own	0
